Setting Name, Default Setting,Most Common Setting
login_work_mins_increment,15.0,15.0
logout_work_mins_increment,15.0,15.0
login_work_mins_increment_aggressive,true,true
logout_work_mins_increment_aggressive,true,true
round_logouts_to_rosters,true,true
round_logins_to_rosters,true,true
breaks_enabled,true,true
min_action_interval,5.0,5.0
automatic_break_length,30.0,30.0
minimum_shift_length_for_auto_breaks,5.5,5.5
append_automatic_breaks,false,false
default_passcode_length,4.0,4.0
maximum_shift_length,14.0,14.0
minimum_duration_between_shifts,8.0,8.0
copy_rosters,false,false
managers_can_see_costs,true,true
managers_can_share_rosters,true,true
managers_can_update_their_timesheets,true,true
leave_request_notifications,admins,admins
cost_leave_on_weekends,false,false
show_weekends,true,true
staff_have_full_timesheet_access,false,false
staff_can_edit_timesheets,true,true
staff_can_see_export_summary,false,false
approve_shifts_created_from_rosters,true,true
enable_flexi_time_zones,false,false
enable_roster_validation,false,false
roster_validation_max_length,11.5,11.5
roster_validation_min_gap,8.0,8.0
roster_validation_max_shifts_in_day,1.0,1.0
roster_validation_max_shifts_in_week,5.0,5.0
roster_validation_max_hours_in_week,41.0,41.0
roster_validation_min_length,3.0,3.0
enable_multi_level_shift_filters,false,false
expected_hours_in_pay_period,0.0,0.0
time_clock_cost_centre_mode,blank,blank
leave_request_default_length,7.6,7.6
public_holiday_region_list,blank,blank
show_holiday_dates,[],[]
enable_text_for_roster,true,true
enable_employee_leave,true,true
enable_availability,false,true
unavailability_minimum_days,4.0,4.0
